2 9
[48 53 48 53],[53  0 48 58],[58  0 53 64],[64  0 58 70],[70  0 64 77],[77  0 70 84],[84  0 77 92],[ 92 101  84  84],[84  0 92 77],[77  0 84 70],[70  0 77 64],[64  0 70 70],[70  0 64 77],[77 84 70 70],[70  0 77 64],[64  0 70 58],[58  0 64 53],[53  0 58 48],[48  0 53 44],[44  0 48 40],[40 44 44 40]
[48 58 53  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 92 110   0   0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[77 92  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[40 48  0 44]
[53 53 58 64],[ 0  0 58 70],[ 0  0 64 77],[ 0  0 70 84],[ 0  0 77 92],[  0  84  84 101],[  0   0  92 110],[101   0 101 120],[  0   0 110 131],[ 0  0 28 34],[  0 110 131 110],[  0   0 120 101],[  0   0 110  92],[ 84   0 101  84],[ 0  0 92 77],[ 0 70 84 70],[ 0  0 77 64],[ 0  0 70 58],[ 0  0 64 53],[ 0  0 58 48],[44 44 53 48]
[58 48 53  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[92  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[120 101   0   0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[77  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[48 40  0 44]
[53 44 48  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[110  92   0   0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[44 36  0 40]
[48 40 44  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 0 53  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[101  84   0   0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 0 53  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[40 33  0 36]
[44 36 40 36],[ 0  0 40 40],[ 0  0 36 44],[ 0  0 40 48],[ 0  0 44 53],[48  0 48 58],[ 0  0 53 64],[ 0 58 58 70],[ 0  0 64 77],[ 0  0 70 84],[92  0 77 77],[ 0  0 84 70],[ 0  0 77 64],[ 0 58 70 58],[ 0  0 64 53],[48  0 58 48],[ 0  0 53 44],[ 0  0 48 40],[ 0  0 44 36],[ 0  0 40 33],[36 30 36 33]
[40 33 36  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[64 53  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[64 53  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[33 27  0 30]
[36 33 33 30],[ 0 30 33 33],[ 0 33 30 36],[ 0 36 33 40],[ 0 40 36 44],[ 0 44 40 48],[ 0 48 44 53],[58 53 48 48],[ 0 48 53 44],[ 0 44 48 40],[ 0 40 44 44],[ 0 44 40 48],[ 0 48 44 53],[58 53 48 48],[ 0 48 53 44],[ 0 44 48 40],[ 0 40 44 36],[ 0 36 40 33],[ 0 33 36 30],[ 0 30 33 27],[30 27 30 27]
