8 3
[34 38 34 31],[31  0 34 28],[28  0 31 25],[25  0 28 22],[22  0 25 20],[20  0 22 18],[18  0 20 16],[16 18 18 14],[14  0 16 12],[12  0 14 10],[10  0 12 12],[12  0 10 14],[14  0 12 16],[16 18 14 14],[14  0 16 12],[12  0 14 10],[10  0 12  9],[ 9  0 10  8],[8 0 9 7],[7 0 8 6],[6 7 7 6]
[34 42 38  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[16 20  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[16 20  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[6 8 0 7]
[38 46 42 38],[ 0  0 42 34],[ 0  0 38 31],[ 0  0 34 28],[ 0  0 31 25],[ 0 22 28 22],[ 0  0 25 20],[18  0 22 22],[ 0  0 20 25],[ 0  0 22 28],[ 0 31 25 25],[ 0  0 28 22],[ 0  0 25 20],[18  0 22 18],[ 0  0 20 16],[ 0 14 18 14],[ 0  0 16 12],[ 0  0 14 10],[ 0  0 12  9],[ 0  0 10  8],[7 9 9 8]
[42 51 46  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[25  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[28 34  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[16  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 8 10  0  9]
[46 56 51  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[31 38  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 9 12  0 10]
[51 62 56  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 0 46  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[34 42  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 0 25  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[10 14  0 12]
[56 68 62 56],[ 0  0 62 51],[ 0  0 56 46],[ 0  0 51 42],[ 0  0 46 46],[42  0 42 51],[ 0  0 46 56],[ 0 62 51 51],[ 0  0 56 46],[ 0  0 51 42],[38  0 46 38],[ 0  0 42 34],[ 0  0 38 31],[ 0 34 34 28],[ 0  0 31 25],[22  0 28 22],[ 0  0 25 20],[ 0  0 22 18],[ 0  0 20 16],[ 0  0 18 14],[12 16 16 14]
[62 75 68  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[56 68  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[31 38  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[14 18  0 16]
[68 75 75 82],[ 0 82 75 90],[ 0 90 82 99],[0 0 0 0],[ 0 90 99 82],[ 0 82 90 75],[ 0 75 82 68],[62 68 75 62],[ 0 62 68 56],[ 0 56 62 51],[ 0 51 56 46],[ 0 46 51 42],[ 0 42 46 38],[34 38 42 34],[ 0 34 38 31],[ 0 31 34 28],[ 0 28 31 25],[ 0 25 28 22],[ 0 22 25 20],[ 0 20 22 18],[16 18 20 18]
