4 20
[12 14 12 14],[14  0 12 16],[16  0 14 18],[18  0 16 20],[20  0 18 22],[22  0 20 25],[25  0 22 28],[28 31 25 31],[31  0 28 34],[34  0 31 38],[38  0 34 42],[42  0 38 46],[46  0 42 51],[51 56 46 56],[56  0 51 62],[62  0 56 68],[68  0 62 75],[75  0 68 82],[82  0 75 90],[90  0 82 98],[ 98 107  90  98]
[12 16 14  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[28 34  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[51 62  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 98 117   0 107]
[14 14 16 18],[ 0  0 16 20],[ 0  0 18 22],[ 0  0 20 25],[ 0  0 22 28],[ 0 25 25 31],[ 0  0 28 34],[31  0 31 38],[ 0  0 34 42],[ 0  0 38 46],[ 0 42 42 51],[ 0  0 46 56],[ 0  0 51 62],[56  0 56 68],[ 0  0 62 75],[ 0 68 68 82],[ 0  0 75 90],[ 0  0 82 98],[  0   0  90 107],[  0   0  98 117],[107 128 107 117]
[16 12 14  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[28  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[46 38  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[75  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[117 140   0 128]
[14 14 12  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[42 42  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[44 36  0 40]
[12 16 14  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 0 28  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[38 46  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 0 75  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[140 117   0 128]
[14 14 16 18],[ 0  0 16 20],[ 0  0 18 22],[ 0  0 20 25],[ 0  0 22 28],[25  0 25 31],[ 0  0 28 34],[ 0 31 31 38],[ 0  0 34 42],[ 0  0 38 46],[42  0 42 51],[ 0  0 46 56],[ 0  0 51 62],[ 0 56 56 68],[ 0  0 62 75],[68  0 68 82],[ 0  0 75 90],[ 0  0 82 98],[  0   0  90 107],[  0   0  98 117],[128 107 107 117]
[16 12 14  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[34 28  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[62 51  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[117  98   0 107]
[14 12 12 14],[ 0 14 12 16],[ 0 16 14 18],[ 0 18 16 20],[ 0 20 18 22],[ 0 22 20 25],[ 0 25 22 28],[31 28 25 31],[ 0 31 28 34],[ 0 34 31 38],[ 0 38 34 42],[ 0 42 38 46],[ 0 46 42 51],[56 51 46 56],[ 0 56 51 62],[ 0 62 56 68],[ 0 68 62 75],[ 0 75 68 82],[ 0 82 75 90],[ 0 90 82 98],[107  98  90  98]
