6 3
[42 46 42 38],[38  0 42 34],[34  0 38 31],[31  0 34 28],[28  0 31 25],[25  0 28 22],[22  0 25 20],[20 22 22 18],[18  0 20 16],[16  0 18 14],[14  0 16 16],[16  0 14 18],[18  0 16 20],[20 22 18 18],[18  0 20 16],[16  0 18 14],[14  0 16 12],[12  0 14 10],[10  0 12  9],[ 9  0 10  8],[8 9 9 8]
[42 51 46  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[20 25  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[20 25  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 8 10  0  9]
[46 56 51 46],[ 0  0 51 42],[ 0  0 46 38],[ 0  0 42 34],[ 0  0 38 31],[ 0 28 34 28],[ 0  0 31 25],[22  0 28 28],[ 0  0 25 31],[ 0  0 28 34],[ 0 38 31 31],[ 0  0 34 28],[ 0  0 31 25],[22  0 28 22],[ 0  0 25 20],[ 0 18 22 18],[ 0  0 20 16],[ 0  0 18 14],[ 0  0 16 12],[ 0  0 14 10],[ 9 12 12 10]
[51 62 56  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[31  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[34 42  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[20  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[10 14  0 12]
[56 68 62  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[38 46  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[12 16  0 14]
[62 75 68  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 0 82  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[42 51  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 0 31  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[14 18  0 16]
[68 68 75 82],[ 0  0 75 90],[ 0  0 82 99],[0 0 0 0],[ 0  0 99 82],[75  0 90 75],[ 0  0 82 68],[ 0 62 75 62],[ 0  0 68 56],[ 0  0 62 51],[46  0 56 46],[ 0  0 51 42],[ 0  0 46 38],[ 0 34 42 34],[ 0  0 38 31],[28  0 34 28],[ 0  0 31 25],[ 0  0 28 22],[ 0  0 25 20],[ 0  0 22 18],[16 16 20 18]
[75 62 68  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[68 56  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[38 31  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[18 14  0 16]
[68 62 62 56],[ 0 56 62 51],[ 0 51 56 46],[ 0 46 51 42],[ 0 42 46 46],[ 0 46 42 51],[ 0 51 46 56],[62 56 51 51],[ 0 51 56 46],[ 0 46 51 42],[ 0 42 46 38],[ 0 38 42 34],[ 0 34 38 31],[34 31 34 28],[ 0 28 31 25],[ 0 25 28 22],[ 0 22 25 20],[ 0 20 22 18],[ 0 18 20 16],[ 0 16 18 14],[16 14 16 14]
