0 3
[70 62 70 79],[79  0 70 88],[88  0 79 99],[0 0 0 0],[88  0 99 79],[79  0 88 70],[70  0 79 62],[62 55 70 55],[55  0 62 49],[49  0 55 43],[43  0 49 38],[38  0 43 34],[34  0 38 30],[30 26 34 26],[26  0 30 23],[23  0 26 20],[20  0 23 17],[17  0 20 15],[15  0 17 13],[13  0 15 11],[11  9 13 11]
[70 55 62  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[62 49  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[30 23  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[11  7  0  9]
[62 49 55 49],[ 0  0 55 43],[ 0  0 49 38],[ 0  0 43 34],[ 0  0 38 38],[ 0 34 34 43],[ 0  0 38 49],[55  0 43 43],[ 0  0 49 38],[ 0  0 43 34],[ 0 30 38 30],[ 0  0 34 26],[ 0  0 30 23],[26  0 26 20],[ 0  0 23 17],[ 0 15 20 15],[ 0  0 17 13],[ 0  0 15 11],[ 0  0 13  9],[ 0  0 11  7],[9 6 9 7]
[55 43 49  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[38  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[34 26  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[17  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[7 5 0 6]
[49 38 43  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[30 23  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[6 4 0 5]
[43 34 38  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 0 17  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[26 20  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 9 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[5 3 0 4]
[38 30 34 30],[ 0  0 34 26],[ 0  0 30 23],[ 0  0 26 20],[ 0  0 23 17],[15  0 20 15],[ 0  0 17 13],[ 0 11 15 15],[ 0  0 13 17],[ 0  0 15 20],[23  0 17 17],[ 0  0 20 15],[ 0  0 17 13],[ 0 11 15 11],[ 0  0 13  9],[ 7  0 11  7],[0 0 9 6],[0 0 7 5],[0 0 6 4],[0 0 5 3],[4 2 4 3]
[34 26 30  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[13  9  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[13  9  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[3 1 0 2]
[30 26 26 23],[ 0 23 26 20],[ 0 20 23 17],[ 0 17 20 15],[ 0 15 17 13],[ 0 13 15 11],[ 0 11 13  9],[11  9 11  7],[0 7 9 6],[0 6 7 5],[0 5 6 6],[0 6 5 7],[0 7 6 9],[11  9  7  7],[0 7 9 6],[0 6 7 5],[0 5 6 4],[0 4 5 3],[0 3 4 2],[0 2 3 1],[2 1 2 1]
