[79 70 79 88],[88  0 79 99],[0 0 0 0],[88  0 99 79],[79  0 88 70],[70  0 79 62],[62  0 70 55],[55 49 62 49],[49  0 55 43],[43  0 49 38],[38  0 43 34],[34  0 38 30],[30  0 34 26],[26 23 30 23],[23  0 26 20],[20  0 23 17],[17  0 20 15],[15  0 17 13],[13  0 15 11],[11  0 13  9],[ 9  7 11  9]
[79 62 70  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[55 43  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[26 20  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[9 6 0 7]
[70 55 62 55],[ 0  0 62 49],[ 0  0 55 43],[ 0  0 49 38],[ 0  0 43 34],[ 0 30 38 38],[ 0  0 34 43],[49  0 38 38],[ 0  0 43 34],[ 0  0 38 30],[ 0 26 34 26],[ 0  0 30 23],[ 0  0 26 20],[23  0 23 17],[ 0  0 20 15],[ 0 13 17 13],[ 0  0 15 11],[ 0  0 13  9],[ 0  0 11  7],[0 0 9 6],[7 5 7 6]
[62 49 55  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[34  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[30 23  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[15  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[6 4 0 5]
[55 43 49  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[26 20  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[5 3 0 4]
[49 38 43  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 0 20  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[23 17  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 7 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[4 2 0 3]
[43 34 38 34],[ 0  0 38 30],[ 0  0 34 26],[ 0  0 30 23],[ 0  0 26 20],[17  0 23 17],[ 0  0 20 15],[ 0 13 17 13],[ 0  0 15 15],[ 0  0 13 17],[20  0 15 15],[ 0  0 17 13],[ 0  0 15 11],[ 0  9 13  9],[ 0  0 11  7],[6 0 9 6],[0 0 7 5],[0 0 6 4],[0 0 5 3],[0 0 4 2],[3 1 3 2]
[38 30 34  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[15 11  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[11  7  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[2 0 0 1]
[34 30 30 26],[ 0 26 30 23],[ 0 23 26 20],[ 0 20 23 17],[ 0 17 20 15],[ 0 15 17 13],[ 0 13 15 11],[13 11 13  9],[ 0  9 11  7],[0 7 9 6],[0 6 7 5],[0 5 6 6],[0 6 5 7],[9 7 6 6],[0 6 7 5],[0 5 6 4],[0 4 5 3],[0 3 4 2],[0 2 3 1],[0 1 2 0],[1 0 1 0]
