[38 43 38 34],[34  0 38 30],[30  0 34 26],[26  0 30 23],[23  0 26 20],[20  0 23 17],[17  0 20 15],[15 17 17 13],[13  0 15 11],[11  0 13  9],[ 9  0 11  7],[7 0 9 6],[6 0 7 5],[5 6 6 4],[4 0 5 3],[3 0 4 2],[2 0 3 1],[1 0 2 0],[0 0 1 0],[0 0 0 0],[0 0 0 0]
[38 49 43  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[15 20  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[5 7 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
[43 55 49 43],[ 0  0 49 38],[ 0  0 43 34],[ 0  0 38 30],[ 0  0 34 26],[ 0 23 30 23],[ 0  0 26 20],[17  0 23 17],[ 0  0 20 15],[ 0  0 17 13],[ 0 15 15 11],[ 0  0 13  9],[ 0  0 11  7],[6 0 9 6],[0 0 7 5],[0 4 6 4],[0 0 5 3],[0 0 4 2],[0 0 3 1],[0 0 2 0],[0 1 1 0]
[49 62 55  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[26  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[13 17  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[5 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 2 0 1]
[55 70 62  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[15 20  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[1 3 0 2]
[62 79 70  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 0 43  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[17 23  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 0 11  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[2 4 0 3]
[70 88 79 70],[ 0  0 79 62],[ 0  0 70 55],[ 0  0 62 49],[ 0  0 55 43],[38  0 49 38],[ 0  0 43 34],[ 0 38 38 30],[ 0  0 34 26],[ 0  0 30 23],[20  0 26 20],[ 0  0 23 17],[ 0  0 20 15],[ 0 17 17 13],[ 0  0 15 11],[ 9  0 13  9],[ 0  0 11  7],[0 0 9 6],[0 0 7 5],[0 0 6 4],[3 5 5 4]
[79 99 88  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[34 43  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[15 20  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[4 6 0 5]
[0 0 0 0],[ 0 88 99 79],[ 0 79 88 70],[ 0 70 79 62],[ 0 62 70 55],[ 0 55 62 49],[ 0 49 55 43],[38 43 49 38],[ 0 38 43 34],[ 0 34 38 30],[ 0 30 34 26],[ 0 26 30 23],[ 0 23 26 20],[17 20 23 17],[ 0 17 20 15],[ 0 15 17 13],[ 0 13 15 11],[ 0 11 13  9],[ 0  9 11  7],[0 7 9 6],[5 6 7 6]
