4 10
[25 28 25 28],[28  0 25 31],[31  0 28 34],[34  0 31 38],[38  0 34 42],[42  0 38 46],[46  0 42 51],[51 56 46 46],[46  0 51 42],[42  0 46 38],[38  0 42 42],[42  0 38 46],[46  0 42 51],[51 56 46 46],[46  0 51 42],[42  0 46 38],[38  0 42 34],[34  0 38 31],[31  0 34 28],[28  0 31 25],[25 28 28 25]
[25 31 28  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[51 62  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[51 62  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[25 31  0 28]
[28 28 31 34],[ 0  0 31 38],[ 0  0 34 42],[ 0  0 38 46],[ 0  0 42 51],[ 0 46 46 56],[ 0  0 51 62],[56  0 56 68],[ 0  0 62 75],[ 0  0 68 82],[ 0 90 75 75],[ 0  0 82 68],[ 0  0 75 62],[56  0 68 56],[ 0  0 62 51],[ 0 46 56 46],[ 0  0 51 42],[ 0  0 46 38],[ 0  0 42 34],[ 0  0 38 31],[28 28 34 31]
[31 25 28  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[51  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[82 99  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[51  0  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[31 25  0 28]
[28 28 25  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[28 28  0 25]
[25 31 28  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 0 51  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[99 82  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[ 0 51  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[25 31  0 28]
[28 28 31 34],[ 0  0 31 38],[ 0  0 34 42],[ 0  0 38 46],[ 0  0 42 51],[46  0 46 56],[ 0  0 51 62],[ 0 56 56 68],[ 0  0 62 75],[ 0  0 68 82],[90  0 75 75],[ 0  0 82 68],[ 0  0 75 62],[ 0 56 68 56],[ 0  0 62 51],[46  0 56 46],[ 0  0 51 42],[ 0  0 46 38],[ 0  0 42 34],[ 0  0 38 31],[28 28 34 31]
[31 25 28  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[62 51  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[62 51  0  0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[31 25  0 28]
[28 25 25 28],[ 0 28 25 31],[ 0 31 28 34],[ 0 34 31 38],[ 0 38 34 42],[ 0 42 38 46],[ 0 46 42 51],[56 51 46 46],[ 0 46 51 42],[ 0 42 46 38],[ 0 38 42 42],[ 0 42 38 46],[ 0 46 42 51],[56 51 46 46],[ 0 46 51 42],[ 0 42 46 38],[ 0 38 42 34],[ 0 34 38 31],[ 0 31 34 28],[ 0 28 31 25],[28 25 28 25]
